1N-Z,N,Z,A,EL,O,Mass Excess,Mass Excess Error,Mass Excess Experimental,Binding Energy/A,Binding Energy/A Error,Binding Energy/A Experimental,Beta Type,Beta-Decay Energy,Beta-Decay Energy Error,Beta-Decay Energy Experimental,Atomic Mass,Atomic Mass Error,Atomic Mass Experimental
25,84,59,143,Pr,,-83068.246,1.8969999999999998,True,8329.428,0.013000000000000001,True,B-,933.988,1.368,True,142910822.564,2.037,True
23,83,60,143,Nd,,-84002.234,1.367,True,8330.488000000001,0.01,True,B-,-1041.583,2.682,True,142909819.887,1.4669999999999999,True
21,82,61,143,Pm,,-82960.651,2.9960000000000004,True,8317.733,0.021,True,B-,-3443.4990000000003,3.56,True,142910938.07299998,3.216,True
19,81,62,143,Sm,,-79517.152,2.804,True,8288.181999999999,0.02,True,B-,-5275.851,11.338,True,142914634.821,3.01,True
17,80,63,143,Eu,x,-74241.3,10.985999999999999,True,8245.817,0.077,True,B-,-6010.0,200.0,True,142920298.681,11.793,True
15,79,64,143,Gd,-,-68231.3,200.301,True,8198.318000000001,1.401,True,B-,-7812.116999999999,206.75,True,142926750.682,215.032,True
13,78,65,143,Tb,x,-60419.183,51.232,True,8138.217,0.358,True,B-,-8250.242,52.86600000000001,True,142935137.335,55.0,True
11,77,66,143,Dy,x,-52168.941,13.040999999999999,True,8075.052,0.091,True,B-,-10121.0,298.0,False,142943994.335,14.0,True
9,76,67,143,Ho,x,-42048.0,298.0,False,7999.0,2.0,False,B-,-10788.0,499.0,False,142954860.0,320.0,False
7,75,68,143,Er,x,-31260.0,400.0,False,7918.0,3.0,False,B-,,,True,142966441.0,429.0,False
38,91,53,144,I,x,-45280.0,401.0,False,8098.0,3.0,False,B-,11592.0,401.0,False,143951390.0,430.0,False
36,90,54,144,Xe,x,-56872.293,5.31,True,8172.884,0.037000000000000005,True,B-,6399.06,20.82,True,143938945.079,5.7,True
34,89,55,144,Cs,,-63271.352999999996,20.132,True,8211.889000000001,0.14,True,B-,8495.768,20.416,True,143932075.40399998,21.612,True
32,88,56,144,Ba,,-71767.121,7.136,True,8265.454,0.05,True,B-,3082.53,14.774000000000001,True,143922954.821,7.6610000000000005,True
30,87,57,144,La,x,-74849.652,12.937000000000001,True,8281.428,0.09,True,B-,5582.219,13.254000000000001,True,143919645.589,13.888,True
28,86,58,144,Ce,+,-80431.87,2.885,True,8314.76,0.02,True,B-,318.64599999999996,0.8320000000000001,True,143913652.83,3.096,True
26,85,59,144,Pr,+,-80750.517,2.762,True,8311.54,0.019,True,B-,2997.44,2.4,True,143913310.75,2.965,True
