N,Z,A,elt,S(2n),S(2n) Error,S(2n) Experimental,S(2p),S(2p) Error,S(2p) Experimental,Q(a),Q(a) Error,Q(a) Experimental,Q(2B-),Q(2B-) Error,Q(2B-) Experimental,Q(ep),Q(ep) Error,Q(ep) Experimental,Q(B- n),Q(B- n) Error,Q(B- n) Experimental,S(n),S(n) Error,S(n) Experimental,S(p),S(p) Error,S(p) Experimental,Q(4B-),Q(4B-) Error,Q(4B-) Experimental,"Q(d,a)","Q(d,a) Error","Q(d,a) Experimental","Q(p,a)","Q(p,a) Error","Q(p,a) Experimental","Q(n,a)","Q(n,a) Error","Q(n,a) Experimental"
71,59,130,Pr,20987.33,70.85,True,7127.97,84.24,True,1373.1,111.01,True,-15780.0,206.0,False,2860.15,67.73,True,-16932.0,212.0,False,9473.22,70.85,True,2176.93,70.09,True,-37492.0,505.0,False,15069.27,70.09,True,5667.93,70.46,True,12367.05,69.33,True
70,60,130,Nd,22425.0,198.0,False,5640.26,39.52,True,1799.41,39.52,True,-19090.0,402.0,False,2402.29,39.52,True,-21787.0,299.0,False,12353.0,204.0,False,4111.64,40.86,True,,,True,10445.33,40.86,True,2811.0,198.0,False,11029.51,40.18,True
69,61,130,Pm,23753.0,357.0,False,3643.0,198.0,False,2503.0,277.0,False,-21713.0,537.0,False,7089.0,198.0,False,-21467.0,537.0,False,10586.0,357.0,False,370.0,281.0,False,,,True,15629.0,277.0,False,5004.0,357.0,False,14794.0,277.0,False
68,62,130,Sm,24979.0,641.0,False,1770.0,446.0,False,3062.0,499.0,False,,,True,7520.0,449.0,False,,,True,13577.0,641.0,False,1914.0,499.0,False,,,True,10990.0,499.0,False,2144.0,566.0,False,13676.0,499.0,False
67,63,130,Eu,,,True,475.0,582.0,False,3242.0,708.0,False,,,True,11909.0,582.0,False,,,True,,,True,-1028.0,15.0,True,,,True,15698.0,708.0,False,,,True,16749.0,641.0,False
84,47,131,Ag,4543.0,640.0,False,,,True,-8775.0,781.0,False,27645.0,500.0,False,,,True,12666.0,501.0,False,2754.0,707.0,False,,,True,41601.0,500.0,False,7941.0,781.0,False,8974.0,707.0,False,,,True
83,48,131,Cd,8303.55,103.83,True,32187.0,609.0,False,-10464.0,511.0,False,22045.61,102.53,True,,,True,6592.92,109.3,True,2172.69,104.87,True,16811.0,510.0,False,29992.05,102.46,True,7472.0,413.0,False,4265.0,317.0,False,-5083.0,511.0,False
82,49,131,In,11329.94,3.81,True,30623.0,400.0,False,-12010.0,200.0,False,13956.37,3.41,True,-29617.0,500.0,False,4035.86,3.29,True,6213.14,38.14,True,14196.41,22.52,True,19417.68,2.77,True,5743.82,16.98,True,4080.92,7.73,True,-7759.0,300.0,False
81,50,131,Sn,12816.3,17.65,True,28784.47,17.15,True,-10942.09,12.64,True,7946.44,3.62,True,-23435.95,22.65,True,-3050.21,14.67,True,5203.68,4.08,True,14670.34,38.22,True,11148.99,3.62,True,6283.96,4.51,True,1745.43,153.52,True,-4376.28,8.1,True
80,51,131,Sb,13494.73,21.33,True,23721.62,3.41,True,-7510.13,21.26,True,5461.31,2.17,True,-19387.17,38.1,True,-2699.77,2.08,True,7767.04,14.36,True,9138.17,2.8,True,6077.38,5.39,True,9320.31,17.4,True,6244.66,17.78,True,-2189.06,153.49,True
79,52,131,Te,14348.84,0.87,True,19198.05,17.28,True,-4165.12,10.06,True,3202.55,0.06,True,-12367.78,1.87,True,-6346.19,3.17,True,5929.38,0.06,True,10214.31,14.21,True,1472.72,2.57,True,10129.1,21.23,True,4283.33,19.12,True,3797.4,17.66,True
78,53,131,I,15078.22,3.23,True,17391.34,21.24,True,-3168.15,5.16,True,616.08,5.01,True,-12446.0,14.23,True,-5633.56,0.6,True,8577.89,3.23,True,7378.73,0.6,True,-3673.45,27.95,True,10272.9,1.06,True,6415.06,1.06,True,2833.98,19.13,True
77,54,131,Xe,15860.13,0.01,True,15986.69,0.87,True,-2556.8,1.51,True,-1729.83,2.57,True,-8349.58,0.01,True,-9585.13,8.36,True,6604.41,0.01,True,8766.39,3.17,True,-8705.12,32.8,True,10804.37,3.17,True,4189.22,3.65,True,6226.56,0.87,True
76,55,131,Cs,16702.17,6.73,True,14129.6,5.9,True,-1499.79,6.17,True,-4289.53,28.38,True,-8411.62,5.9,True,-8868.56,5.28,True,9230.36,9.73,True,5467.29,4.97,True,-13758.13,47.26,True,11348.08,4.97,True,6665.57,5.09,True,5326.34,6.17,True
75,56,131,Ba,17763.17,10.59,True,12565.61,2.57,True,-787.09,4.85,True,-6975.29,32.9,True,-4092.24,2.57,True,-13127.68,26.07,True,7493.5,0.3,True,7072.96,8.74,True,-18915.7,27.64,True,11526.32,5.17,True,4111.9,6.02,True,8822.97,2.78,True
74,57,131,La,18587.32,35.17,True,10847.95,28.31,True,45.98,28.5,True,-9468.6,54.68,True,-4158.48,29.17,True,-12417.67,39.52,True,10213.21,38.13,True,3796.68,28.06,True,-24109.0,202.0,False,12004.75,29.88,True,6473.3,28.42,True,7808.73,28.47,True
73,58,131,Ce,19563.58,43.09,True,9223.18,34.47,True,684.59,34.71,True,-11940.41,42.73,True,264.13,32.9,True,-16604.3,72.16,True,8356.85,43.09,True,5370.04,41.82,True,-29575.0,402.0,False,12326.94,39.14,True,3781.05,63.57,True,11316.46,33.21,True
72,59,131,Pr,20669.73,55.65,True,7554.02,51.62,True,1170.54,53.71,True,-14640.0,206.0,False,37.74,53.68,True,-15775.74,54.68,True,11196.52,79.62,True,2166.72,54.68,True,-35031.0,403.0,False,12697.65,54.68,True,6097.32,54.68,True,9971.18,71.92,True
71,60,131,Nd,21596.0,204.0,False,6058.48,39.22,True,1786.39,39.89,True,-17635.0,401.0,False,4365.9,39.22,True,-20443.0,198.0,False,9243.12,39.22,True,3881.55,69.92,True,,,True,12716.33,40.57,True,3426.78,40.57,True,13412.29,39.22,True
70,61,131,Pm,22922.0,359.0,False,4465.0,202.0,False,2458.0,280.0,False,-20390.0,448.0,False,4226.0,210.0,False,-20225.0,448.0,False,12336.0,280.0,False,353.0,202.0,False,,,True,13365.0,284.0,False,5518.0,280.0,False,12317.0,202.0,False
69,62,131,Sm,24276.0,641.0,False,2396.0,449.0,False,2978.0,499.0,False,,,True,9174.0,402.0,False,-24521.0,641.0,False,10698.0,566.0,False,2026.0,446.0,False,,,True,13459.0,499.0,False,2517.0,499.0,False,15828.0,446.0,False
68,63,131,Eu,,,True,967.0,499.0,False,3091.0,566.0,False,,,True,8837.0,446.0,False,,,True,13658.0,641.0,False,-947.09,5.27,True,,,True,13441.0,641.0,False,4264.0,641.0,False,14162.0,499.0,False
85,47,132,Ag,4235.0,707.0,False,,,True,,,True,28622.0,504.0,False,,,True,13358.0,511.0,False,1481.0,707.0,False,,,True,45845.0,500.0,False,,,True,8684.0,781.0,False,,,True
84,48,132,Cd,5288.0,197.0,False,,,True,-8198.0,537.0,False,26283.0,196.0,False,,,True,9690.0,196.0,False,3116.0,221.0,False,17172.0,537.0,False,34925.0,196.0,False,6145.0,537.0,False,6581.0,445.0,False,-7007.0,631.0,False
83,49,132,In,8670.97,71.07,True,31292.0,504.0,False,-10216.0,306.0,False,17223.73,60.08,True,-29320.0,504.0,False,6781.71,60.14,True,2457.83,60.09,True,14481.55,118.76,True,23291.95,60.17,True,9416.85,64.06,True,5510.56,62.33,True,-4785.0,404.0,False
82,50,132,Sn,12556.97,2.72,True,30006.89,22.44,True,-11729.57,7.51,True,8641.64,4.01,True,-28616.55,102.48,True,-2636.46,2.87,True,7353.29,4.12,True,15810.48,3.35,True,12732.42,1.98,True,4047.47,38.1,True,1155.23,3.34,True,-7842.09,16.88,True
81,51,132,Sb,13492.23,14.42,True,24330.01,38.13,True,-7914.25,153.5,True,6068.22,4.76,True,-18899.21,3.66,True,-2495.58,2.47,True,5725.19,3.23,True,9659.67,4.38,True,7517.41,2.68,True,11207.74,3.1,True,5819.69,17.45,True,-1151.15,3.65,True
80,52,132,Te,13977.87,3.49,True,19633.92,3.96,True,-4251.09,18.0,True,4090.78,3.49,True,-15212.58,5.03,True,-5816.79,3.54,True,8048.49,3.49,True,10495.76,4.06,True,3246.83,3.64,True,7808.3,14.63,True,4305.18,21.52,True,1049.12,17.63,True
79,53,132,I,14909.99,5.15,True,17995.75,14.78,True,-3498.12,19.55,True,1449.19,4.2,True,-11011.06,4.57,True,-5361.25,4.07,True,6332.1,4.11,True,7781.45,4.07,True,-1979.84,36.59,True,12360.27,4.07,True,6165.37,4.16,True,4572.22,21.62,True
78,54,132,Xe,15541.13,0.01,True,16503.95,0.01,True,-2710.16,0.87,True,-843.94,1.05,True,-11356.92,0.06,True,-9291.49,4.97,True,8936.72,0.01,True,9125.22,0.6,True,-6808.07,20.44,True,8367.98,3.17,True,4092.22,3.17,True,3372.25,0.87,True
