N,Z,A,elt,S(2n),S(2n) Error,S(2n) Experimental,S(2p),S(2p) Error,S(2p) Experimental,Q(a),Q(a) Error,Q(a) Experimental,Q(2B-),Q(2B-) Error,Q(2B-) Experimental,Q(ep),Q(ep) Error,Q(ep) Experimental,Q(B- n),Q(B- n) Error,Q(B- n) Experimental,S(n),S(n) Error,S(n) Experimental,S(p),S(p) Error,S(p) Experimental,Q(4B-),Q(4B-) Error,Q(4B-) Experimental,"Q(d,a)","Q(d,a) Error","Q(d,a) Experimental","Q(p,a)","Q(p,a) Error","Q(p,a) Experimental","Q(n,a)","Q(n,a) Error","Q(n,a) Experimental"
1,0,1,n,,,True,,,True,,,True,,,True,,,True,,,True,0.0,0.0,True,,,True,,,True,,,True,,,True,,,True
0,1,1,H,,,True,,,True,,,True,,,True,,,True,,,True,,,True,0.0,0.0,True,,,True,,,True,,,True,,,True
1,1,2,H,,,True,,,True,,,True,,,True,,,True,,,True,2224.57,0.0,True,2224.57,0.0,True,,,True,23846.53,0.0,True,,,True,,,True
2,1,3,H,8481.79,0.0,True,,,True,,,True,-13717.0,2000.0,False,,,True,,,True,6257.23,0.0,True,,,True,,,True,17589.3,0.0,True,19813.86,0.0,True,,,True
1,2,3,He,,,True,7718.04,0.0,True,,,True,,,True,,,True,,,True,,,True,5493.47,0.0,True,,,True,18353.05,0.0,True,,,True,20577.62,0.0,True
0,3,3,Li,,,True,-6800.0,2000.0,False,,,True,,,True,8242.0,2000.0,False,,,True,,,True,,,True,,,True,,,True,,,True,,,True
3,1,4,H,4657.23,100.0,True,,,True,,,True,-702.06,234.52,True,,,True,1618.59,100.0,True,-1600.0,100.0,True,,,True,,,True,,,True,21413.86,100.0,True,,,True
2,2,4,He,,,True,,,True,0.0,0.0,True,,,True,,,True,-34313.0,2000.0,False,20577.62,0.0,True,19813.86,0.0,True,,,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
1,3,4,Li,,,True,2390.47,212.13,True,,,True,,,True,3084.41,212.13,True,,,True,11415.0,2011.0,False,-3103.0,212.13,True,,,True,,,True,,,True,23680.62,212.13,True
4,1,5,H,-1800.0,89.44,True,,,True,,,True,21213.56,102.47,True,,,True,22396.21,89.44,True,-200.0,134.16,True,,,True,,,True,,,True,,,True,,,True
3,2,5,He,19842.62,20.0,True,,,True,735.0,20.0,True,-25907.0,2003.0,False,,,True,-22163.27,213.07,True,-735.0,20.0,True,20678.86,101.98,True,,,True,6992.23,20.0,True,2959.57,20.0,True,,,True
2,3,5,Li,33131.0,2001.0,False,17848.86,50.0,True,1965.0,50.0,True,,,True,-20231.21,111.8,True,,,True,21715.62,217.94,True,-1965.0,50.0,True,,,True,7458.47,50.0,True,,,True,4189.57,50.0,True
1,4,5,Be,,,True,-7630.0,2003.0,False,,,True,,,True,27425.0,2003.0,False,,,True,,,True,-4527.0,2014.0,False,,,True,19183.0,2830.0,False,,,True,,,True
5,1,6,H,-1111.96,273.09,True,,,True,,,True,27788.84,254.13,True,,,True,22573.17,254.91,True,-911.96,269.41,True,,,True,-5444.0,2019.0,False,,,True,,,True,,,True
4,2,6,He,975.45,0.05,True,,,True,,,True,-782.94,5.45,True,,,True,-2158.11,50.0,True,1710.45,20.0,True,22589.32,89.44,True,,,True,3681.77,100.0,True,7506.34,0.05,True,,,True
3,3,6,Li,27378.94,212.13,True,25112.19,100.0,True,-1473.76,0.0,True,-33233.0,2003.0,False,-26094.54,89.44,True,-31123.0,2003.0,False,5663.32,50.0,True,4433.32,20.0,True,,,True,22372.77,0.0,True,4019.72,0.0,True,4783.47,0.0,True
2,4,6,Be,,,True,-1372.18,5.45,True,,,True,,,True,-145.17,20.73,True,,,True,26835.0,2003.0,False,592.82,50.3,True,,,True,3762.65,212.2,True,-5428.0,2000.0,False,9090.22,5.45,True
1,5,6,B,,,True,-7419.0,2014.0,False,,,True,,,True,28352.0,2003.0,False,,,True,,,True,-2892.0,2832.0,False,,,True,,,True,,,True,24299.0,2830.0,False
6,1,7,H,-100.0,1000.0,False,,,True,,,True,34228.0,1004.0,False,,,True,23472.0,1004.0,False,812.0,1036.0,False,,,True,21459.0,1004.0,False,,,True,,,True,,,True
5,2,7,He,1300.74,21.38,True,,,True,,,True,10304.13,7.56,True,,,True,3914.93,7.56,True,-409.71,7.56,True,23091.56,254.24,True,,,True,3891.49,89.76,True,6316.05,100.29,True,,,True
4,3,7,Li,12914.42,50.0,True,32563.28,89.44,True,-2467.62,0.0,True,-12769.44,25.15,True,-34257.59,254.13,True,-11539.24,5.45,True,7251.09,0.0,True,9973.96,0.05,True,,,True,14386.68,20.0,True,17346.24,0.0,True,-4067.62,100.0,True
3,4,7,Be,37512.0,2003.0,False,10040.18,20.0,True,-1587.13,0.07,True,,,True,-9112.07,0.09,True,-39622.0,2003.0,False,10677.35,5.45,True,5606.85,0.07,True,,,True,14800.92,50.0,True,-4690.13,212.13,True,18990.48,0.07,True
2,5,7,B,,,True,-1419.72,55.97,True,-3415.0,2000.0,False,,,True,6300.7,25.15,True,,,True,27715.0,2003.0,False,-2012.55,25.73,True,,,True,1249.0,2003.0,False,,,True,7999.76,213.62,True
6,2,8,He,2125.05,0.1,True,,,True,,,True,26668.01,0.1,True,,,True,8631.26,0.09,True,2534.76,7.56,True,24814.0,1004.0,False,-3454.59,18.24,True,444.77,254.13,True,3581.29,89.44,True,,,True
5,3,8,Li,9283.71,0.05,True,35507.86,254.13,True,-6100.24,100.0,True,-1975.76,1.0,True,-35478.0,1004.0,False,-2894.51,0.09,True,2032.62,0.05,True,12416.29,7.56,True,,,True,14064.51,0.07,True,14578.63,20.0,True,-6300.24,89.44,True
4,4,8,Be,29576.0,5.45,True,27228.37,0.06,True,91.84,0.04,True,-30122.6,18.24,True,-28420.43,7.56,True,-30806.2,25.15,True,18898.64,0.08,True,17254.4,0.04,True,,,True,1565.6,0.04,True,-1873.16,50.0,True,-643.16,20.0,True
3,5,8,B,40541.0,2003.0,False,5743.25,1.0,True,-4826.54,212.13,True,,,True,725.49,1.0,True,,,True,12826.3,25.17,True,136.4,1.0,True,,,True,15257.34,5.54,True,-9353.0,2003.0,False,16889.08,50.01,True
2,6,8,C,,,True,-2111.29,19.04,True,,,True,,,True,12006.3,18.24,True,,,True,,,True,-98.75,31.07,True,,,True,-1545.0,2003.0,False,,,True,3572.0,2003.0,False
7,2,9,He,1279.93,47.42,True,,,True,,,True,29587.37,46.82,True,,,True,11918.7,46.82,True,-1254.83,46.82,True,,,True,12024.85,46.87,True,2512.0,1005.0,False,3924.16,258.4,True,,,True
6,3,9,Li,6094.84,0.19,True,38758.0,1004.0,False,-10362.46,89.44,True,12538.41,0.92,True,,,True,11941.91,0.19,True,4062.22,0.19,True,13943.75,0.21,True,,,True,9592.58,7.56,True,12226.86,0.19,True,-11274.42,254.13,True
5,4,9,Be,20563.18,0.1,True,29302.61,7.56,True,-2307.7,20.0,True,-17562.52,2.14,True,-27550.2,0.12,True,-19644.43,1.0,True,1664.54,0.08,True,16886.32,0.09,True,,,True,7152.15,0.08,True,2125.63,0.08,True,-597.24,0.09,True
4,5,9,B,31402.7,25.17,True,17068.56,0.9,True,-1687.31,50.01,True,,,True,-15818.29,0.9,True,-30719.1,18.27,True,18576.4,1.35,True,-185.85,0.9,True,,,True,7358.3,0.91,True,-1094.49,5.52,True,3976.01,0.9,True
3,6,9,C,,,True,1435.97,2.14,True,-10653.0,2003.0,False,,,True,16680.33,2.14,True,,,True,14224.61,18.37,True,1299.57,2.36,True,,,True,11945.23,25.24,True,-13545.0,2003.0,False,16182.34,5.85,True
8,2,10,He,-1444.83,92.85,True,,,True,,,True,36589.66,92.85,True,,,True,16170.92,92.85,True,-190.0,103.98,True,,,True,33498.47,92.85,True,,,True,4926.0,1008.0,False,,,True
7,3,10,Li,4035.81,12.72,True,,,True,-11248.01,254.45,True,21002.01,12.72,True,,,True,13632.85,12.72,True,-26.4,12.72,True,15172.17,48.51,True,-5747.4,400.2,True,12153.75,12.72,True,11843.55,14.8,True,-10436.0,1004.0,False
6,4,10,Be,8476.82,0.09,True,33580.13,0.12,True,-7409.52,0.1,True,-3091.18,0.11,True,-35617.31,46.82,True,-7880.32,0.9,True,6812.28,0.05,True,19636.39,0.2,True,,,True,2372.49,0.09,True,2564.44,0.08,True,-7819.24,7.56,True
5,5,10,B,27013.59,1.0,True,23473.14,0.05,True,-4461.19,0.01,True,-26749.42,400.0,True,-20193.26,0.19,True,-24931.68,2.14,True,8437.2,0.9,True,6586.81,0.08,True,,,True,17819.74,0.04,True,1145.67,0.07,True,2789.91,0.02,True
4,6,10,C,35508.23,18.24,True,3820.94,0.08,True,-5101.28,5.45,True,,,True,-2938.75,0.1,True,,,True,21283.62,2.14,True,4006.79,0.91,True,,,True,3487.91,1.0,True,-7113.82,25.15,True,5576.07,0.1,True
3,7,10,N,,,True,-1300.52,400.0,True,-10945.0,2042.0,False,,,True,19094.57,400.0,True,,,True,,,True,-2600.08,400.01,True,,,True,14446.56,400.42,True,,,True,16769.88,400.79,True
8,3,11,Li,369.28,0.64,True,,,True,-10832.0,1004.0,False,32060.55,0.61,True,,,True,20049.45,0.62,True,395.69,12.74,True,15757.86,92.85,True,16424.69,46.16,True,10503.23,46.82,True,13982.63,0.62,True,,,True
7,4,11,Be,7313.92,0.25,True,35336.6,46.82,True,-8320.87,7.56,True,9527.77,0.25,True,-36308.95,92.85,True,55.24,0.24,True,501.64,0.25,True,20164.43,12.72,True,,,True,5933.07,0.3,True,4095.42,0.24,True,-5786.11,0.25,True
6,5,11,B,19891.42,0.9,True,30865.14,0.19,True,-8664.31,0.01,True,-15635.85,46.15,True,-31673.89,12.72,True,-15102.28,0.07,True,11454.22,0.02,True,11228.75,0.08,True,,,True,8030.06,0.08,True,8590.09,0.04,True,-6631.7,0.05,True
5,6,11,C,34404.21,2.14,True,15277.0,0.1,True,-7544.52,0.09,True,,,True,-9247.06,0.1,True,-36221.95,400.0,True,13120.59,0.09,True,8690.18,0.06,True,,,True,8943.71,0.9,True,-7408.12,1.0,True,11354.13,0.07,True
4,7,11,N,,,True,2690.87,46.16,True,-5797.91,52.56,True,,,True,4963.98,46.15,True,,,True,22567.78,402.65,True,-1315.92,46.15,True,,,True,6103.39,46.2,True,-5896.65,49.63,True,7028.39,46.16,True
9,3,12,Li,185.69,32.59,True,,,True,,,True,35640.17,30.04,True,,,True,20761.09,30.01,True,-210.0,30.0,True,,,True,31671.5,30.02,True,10523.23,97.58,True,12937.8,55.61,True,,,True
8,4,12,Be,3672.36,1.91,True,38697.32,92.87,True,-8956.84,1.91,True,25077.76,1.91,True,,,True,8338.74,1.91,True,3170.72,1.92,True,22939.47,2.01,True,-6836.85,24.08,True,2735.94,12.86,True,4986.91,1.92,True,-10211.66,46.86,True
7,5,12,B,14823.85,1.32,True,34261.17,12.79,True,-10001.32,1.32,True,-3968.67,1.66,True,-34647.83,1.46,True,-5351.32,1.32,True,3369.63,1.32,True,14096.74,1.34,True,,,True,11472.71,1.32,True,6885.0,1.32,True,-5939.1,1.33,True
6,6,12,C,31841.31,0.07,True,27185.43,0.08,True,-7366.59,0.04,True,-31914.61,24.0,True,-27466.14,0.24,True,-32374.88,46.15,True,18720.71,0.06,True,15956.68,0.01,True,,,True,-1339.8,0.01,True,-7552.43,0.9,True,-5702.05,0.08,True
5,7,12,N,37604.59,400.0,True,9290.48,1.0,True,-8008.41,1.41,True,,,True,1381.39,1.0,True,,,True,15036.81,46.16,True,600.3,1.0,True,,,True,12350.2,1.0,True,-6708.85,2.36,True,10567.98,1.35,True
4,8,12,O,,,True,-1638.0,24.0,True,-5574.57,30.15,True,,,True,13976.25,24.0,True,,,True,,,True,-322.08,52.02,True,,,True,3825.39,400.72,True,,,True,8650.04,24.1,True
10,3,13,Li,-110.0,70.0,True,,,True,,,True,40418.94,70.01,True,,,True,23831.81,70.03,True,100.0,76.16,True,,,True,51635.41,70.0,True,,,True,12647.8,116.28,True,,,True
9,4,13,Be,2660.72,10.18,True,,,True,-9701.66,47.91,True,30534.07,10.18,True,,,True,12218.36,10.27,True,-510.0,10.0,True,22639.47,31.69,True,10543.64,13.94,True,3641.63,10.2,True,5470.51,16.29,True,-9891.67,93.4,True
8,5,13,B,8248.39,1.0,True,38744.25,1.17,True,-10817.87,1.02,True,11216.47,1.04,True,-39736.6,30.02,True,8490.63,1.0,True,4878.77,1.66,True,15804.78,2.15,True,,,True,7095.59,1.03,True,8818.51,1.0,True,-10844.28,12.76,True
7,6,13,C,23667.02,0.06,True,31630.1,0.24,True,-10648.36,0.08,True,-19990.42,9.53,True,-29241.72,1.91,True,-22284.38,1.0,True,4946.31,0.0,True,17533.36,1.32,True,,,True,5168.11,0.01,True,-4061.55,0.01,True,-3836.08,0.08,True
6,7,13,N,35100.71,46.15,True,17900.17,0.27,True,-9495.92,0.94,True,,,True,-15312.89,1.35,True,-34640.45,24.0,True,20063.9,1.04,True,1943.49,0.27,True,,,True,5406.89,0.28,True,-5489.14,0.28,True,-1058.73,0.27,True
5,8,13,O,,,True,2111.91,9.53,True,-8220.46,9.76,True,,,True,15826.46,9.53,True,,,True,16870.5,25.82,True,1511.61,9.58,True,,,True,9522.68,47.13,True,-10820.54,400.11,True,13063.16,9.53,True
10,4,14,Be,1265.9,132.26,True,,,True,-11667.56,161.58,True,36934.61,132.25,True,,,True,15321.23,132.25,True,1775.9,132.64,True,24315.36,149.63,True,31946.72,132.25,True,1655.73,135.61,True,4090.3,132.25,True,,,True
9,5,14,B,5848.35,21.25,True,39923.83,36.75,True,-11813.85,24.74,True,20800.27,21.21,True,-40606.17,73.15,True,12467.36,21.21,True,969.58,21.24,True,17284.36,23.53,True,-8300.72,46.27,True,9296.73,21.3,True,8350.57,21.21,True,-11418.17,21.22,True
8,6,14,C,13122.74,0.0,True,36635.81,1.91,True,-12012.51,0.08,True,-4987.89,0.03,True,-37928.15,10.18,True,-10396.91,0.27,True,8176.43,0.0,True,20831.02,1.0,True,,,True,361.3,1.32,True,-783.76,0.01,True,-11510.87,0.24,True
7,7,14,N,30617.29,1.0,True,25083.92,1.32,True,-11612.11,0.01,True,-29100.99,41.12,True,-20987.5,1.0,True,-28323.33,9.53,True,10553.38,0.27,True,7550.56,0.0,True,,,True,13574.22,0.0,True,-2921.92,0.06,True,-157.89,0.01,True
6,8,14,O,40049.47,24.0,True,6570.16,0.03,True,-10115.81,0.07,True,,,True,-2406.2,0.03,True,,,True,23178.97,9.53,True,4626.67,0.27,True,,,True,1380.52,1.0,True,-11431.72,46.15,True,3004.79,0.06,True
5,9,14,F,,,True,-48.39,41.13,True,-9260.54,402.11,True,,,True,19329.95,41.12,True,,,True,,,True,-1560.0,40.0,True,,,True,10760.6,47.61,True,,,True,13307.24,61.81,True
11,4,15,Be,-24.1,166.11,True,,,True,,,True,39952.67,165.8,True,,,True,18090.81,167.15,True,-1800.0,100.0,True,,,True,46970.21,165.8,True,3555.73,179.97,True,5680.3,168.49,True,,,True
10,5,15,B,3746.34,21.06,True,42600.59,73.09,True,-14194.93,21.04,True,28856.8,21.03,True,,,True,17867.03,21.03,True,2776.76,29.87,True,18285.23,133.91,True,12391.49,25.27,True,6009.97,23.37,True,8744.54,21.12,True,-14404.93,36.64,True
9,6,15,C,9394.5,0.8,True,38363.87,10.21,True,-12728.94,0.83,True,7017.54,0.94,True,-37370.32,132.25,True,-1061.59,0.8,True,1218.07,0.8,True,21079.51,21.23,True,-30342.23,66.69,True,4022.0,1.28,True,1367.8,1.54,True,-9558.21,2.07,True
8,7,15,N,21386.68,0.27,True,31038.45,1.0,True,-10991.18,0.01,True,-16465.31,14.0,True,-30851.22,21.21,True,-15977.66,0.03,True,10833.3,0.0,True,10207.42,0.0,True,,,True,7687.24,0.0,True,4965.49,0.0,True,-7621.56,1.32,True
7,8,15,O,36402.46,9.54,True,14847.34,0.49,True,-10218.71,0.49,True,-37359.77,66.69,True,-7453.26,0.49,True,-37180.11,41.12,True,13223.49,0.49,True,7296.78,0.49,True,,,True,8220.93,0.56,True,-9618.41,1.11,True,8502.01,0.49,True
6,9,15,F,,,True,3356.67,14.0,True,-10161.72,48.23,True,,,True,6414.36,14.0,True,,,True,23468.97,43.44,True,-1270.0,14.0,True,,,True,4162.13,16.93,True,-10483.81,27.78,True,4875.08,14.04,True
5,10,15,Ne,,,True,-2522.0,66.0,True,,,True,,,True,24918.62,66.68,True,,,True,,,True,-962.0,77.18,True,,,True,,,True,,,True,13947.16,70.87,True
12,4,16,Be,-1350.0,100.0,True,,,True,,,True,43753.0,165.84,True,,,True,20417.57,167.13,True,450.0,141.42,True,,,True,62184.13,165.8,True,,,True,5330.3,179.97,True,,,True
11,5,16,B,2693.81,32.46,True,,,True,-14321.98,38.78,True,31428.6,24.68,True,,,True,19168.05,24.58,True,-82.95,14.6,True,20002.28,167.61,True,26432.26,25.94,True,7868.82,134.51,True,8317.49,26.59,True,-14221.98,74.19,True
10,6,16,C,5468.39,3.58,True,40838.31,132.29,True,-13808.54,4.05,True,18431.13,3.58,True,-43420.65,165.84,True,5521.38,3.58,True,4250.33,3.67,True,22553.08,21.33,True,-10292.64,20.79,True,741.25,21.51,True,1996.24,3.71,True,-14318.54,10.79,True
9,7,16,N,13322.14,2.3,True,32557.72,21.34,True,-10110.41,2.65,True,-4996.35,8.63,True,-30563.31,21.16,True,-5243.02,2.35,True,2488.85,2.3,True,11478.21,2.44,True,,,True,13374.82,2.3,True,7422.95,2.3,True,-5231.64,2.51,True
8,8,16,O,28887.42,0.03,True,22334.84,0.0,True,-7161.92,0.0,True,-28723.78,20.48,True,-21899.12,0.8,True,-29375.07,14.0,True,15663.92,0.49,True,12127.41,0.0,True,,,True,3110.39,0.0,True,-5218.43,0.27,True,-2215.61,0.0,True
7,9,16,F,37426.78,41.95,True,6761.11,8.32,True,-9082.73,8.38,True,,,True,3289.84,8.32,True,-37606.44,67.2,True,13957.82,16.29,True,-535.68,8.33,True,,,True,13383.28,8.32,True,-7571.12,12.65,True,10981.17,8.32,True
6,10,16,Ne,,,True,-1401.05,20.48,True,-10352.75,31.55,True,,,True,13842.2,20.49,True,,,True,24299.91,69.76,True,-131.05,24.81,True,,,True,2733.18,45.94,True,,,True,6517.75,22.59,True
12,5,17,B,1384.56,205.18,True,,,True,-15689.49,215.77,True,35846.24,204.65,True,,,True,21950.87,204.13,True,1467.51,205.58,True,21019.79,262.96,True,41764.62,204.1,True,4601.31,262.96,True,8625.87,243.2,True,,,True
11,6,17,C,4983.88,17.38,True,43371.86,166.7,True,-15052.09,20.13,True,21840.66,17.36,True,-43704.2,166.7,True,7276.67,17.52,True,733.55,17.73,True,23369.58,30.09,True,4531.45,17.37,True,2784.46,27.27,True,2232.27,27.41,True,-13276.2,133.38,True
10,7,17,N,8373.99,15.0,True,35666.1,25.83,True,-11116.78,15.03,True,5918.38,15.0,True,-36531.4,28.79,True,4535.76,15.0,True,5885.15,15.18,True,13113.02,15.42,True,-27303.13,1001.47,True,8707.74,15.02,True,9714.24,15.0,True,-10147.2,25.98,True
9,8,17,O,19807.0,0.49,True,25259.85,0.8,True,-6358.69,0.0,True,-17309.21,0.35,True,-21791.87,3.58,True,-19560.33,8.32,True,4143.08,0.0,True,13781.64,2.3,True,,,True,9800.6,0.0,True,1191.87,0.0,True,1817.75,0.0,True
8,9,17,F,30757.68,14.0,True,12727.68,0.25,True,-5818.69,0.37,True,-33221.51,1001.36,True,-11021.18,2.31,True,-30106.39,20.48,True,16799.87,8.32,True,600.27,0.25,True,,,True,9806.9,0.55,True,-1192.02,0.25,True,4734.69,0.25,True
7,10,17,Ne,39857.56,66.68,True,933.1,0.61,True,-9039.9,9.53,True,,,True,13948.48,0.35,True,,,True,15557.65,20.48,True,1468.78,8.33,True,,,True,10644.5,14.0,True,-10599.9,41.12,True,14139.07,0.36,True
6,11,17,Na,,,True,-4028.52,1001.45,True,,,True,,,True,17203.99,1001.39,True,,,True,,,True,-3897.47,1001.57,True,,,True,5668.65,1003.57,True,,,True,8855.21,1002.2,True
13,5,18,B,1462.51,205.64,True,,,True,,,True,38679.47,205.01,True,,,True,22689.42,204.9,True,-5.0,5.0,True,,,True,50919.52,204.17,True,5056.31,263.01,True,6830.87,263.01,True,,,True
12,6,18,C,4917.5,30.21,True,47105.81,168.49,True,-17460.15,135.61,True,25702.08,30.0,True,,,True,8977.87,33.54,True,4183.95,34.66,True,26086.02,206.3,True,19601.65,30.0,True,-1482.44,38.78,True,825.08,36.64,True,-19260.15,168.49,True
11,7,18,N,8713.37,18.71,True,38577.28,30.8,True,-12975.43,28.19,True,12240.06,18.58,True,-37892.12,204.95,True,5850.61,18.57,True,2828.23,23.87,True,15207.7,25.42,True,-11924.82,95.7,True,10129.84,18.91,True,8104.08,18.59,True,-10198.67,28.06,True
10,8,18,O,12188.45,0.0,True,29054.89,3.58,True,-6227.62,0.0,True,-6100.43,0.36,True,-29103.68,17.36,True,-10805.83,0.25,True,8045.37,0.0,True,15941.86,15.0,True,,,True,4244.08,2.3,True,3979.8,0.0,True,-5009.56,0.8,True
9,9,18,F,25949.77,8.33,True,19388.74,2.35,True,-4415.22,0.46,True,-24164.87,93.88,True,-14285.94,15.01,True,-23698.65,0.58,True,9149.91,0.53,True,5607.09,0.46,True,,,True,16320.92,0.46,True,2881.56,0.67,True,6418.08,0.46,True
8,10,18,Ne,34811.8,20.48,True,4523.33,0.36,True,-5115.08,0.36,True,,,True,-1162.59,0.36,True,-37926.92,1001.36,True,19254.15,0.51,True,3923.06,0.44,True,,,True,5348.17,8.33,True,-6385.08,14.0,True,8108.41,0.61,True
7,11,18,Na,,,True,220.21,94.25,True,-9351.33,102.49,True,,,True,15797.32,93.88,True,,,True,18206.54,1005.75,True,-1248.57,93.88,True,,,True,11762.02,96.09,True,-10313.33,115.15,True,14117.64,94.92,True
14,5,19,B,88.71,563.62,True,,,True,,,True,43913.96,525.62,True,,,True,26779.66,526.22,True,93.71,563.64,True,,,True,61257.69,525.36,True,,,True,7187.17,550.9,True,,,True
13,6,19,C,4760.78,99.91,True,,,True,-19836.98,192.79,True,29080.89,98.42,True,,,True,11229.27,100.13,True,576.83,93.7,True,26667.85,226.64,True,30661.7,98.39,True,-591.76,226.58,True,165.3,101.41,True,-19386.98,192.79,True
12,7,19,N,8156.43,22.23,True,42437.98,204.76,True,-15526.88,26.67,True,17343.73,16.4,True,-43225.32,204.82,True,8567.78,16.4,True,5328.2,24.78,True,16351.95,34.19,True,2926.89,19.5,True,5535.19,23.89,True,7026.2,16.79,True,-15609.83,29.54,True
11,8,19,O,12001.01,2.64,True,32276.98,17.56,True,-8965.2,2.76,True,1580.81,2.64,True,-28875.38,30.12,True,-5611.57,2.68,True,3955.64,2.64,True,17069.28,18.76,True,-28495.53,50.07,True,6173.59,15.23,True,2513.01,3.5,True,-4714.87,4.44,True
10,9,19,F,19581.78,0.25,True,23935.46,15.0,True,-4013.8,0.0,True,-14416.83,10.54,True,-21889.58,18.57,True,-14876.38,0.36,True,10431.87,0.46,True,7993.6,0.0,True,,,True,10032.13,0.0,True,8113.61,0.0,True,-1524.95,2.3,True
9,10,19,Ne,30891.03,0.39,True,12017.13,0.16,True,-3528.47,0.52,True,-30076.34,50.0,True,-4754.1,0.16,True,-31357.25,93.88,True,11636.88,0.4,True,6410.03,0.49,True,,,True,10511.15,0.3,True,-4064.15,8.32,True,12135.45,0.16,True
8,11,19,Na,38386.46,1001.41,True,3600.25,10.54,True,-6062.28,17.52,True,,,True,4767.31,10.55,True,,,True,20179.91,94.47,True,-322.81,10.54,True,,,True,7139.75,10.54,True,-6193.33,23.03,True,7895.54,13.42,True
7,12,19,Mg,,,True,-750.0,50.0,True,-10811.9,83.35,True,,,True,19221.8,50.0,True,,,True,,,True,498.57,106.37,True,,,True,7365.98,1002.6,True,,,True,13488.01,54.03,True
15,5,20,B,-515.0,826.0,False,,,True,,,True,46683.0,804.0,False,,,True,27965.0,806.0,False,-608.0,957.0,False,,,True,68467.0,800.0,False,,,True,,,True,,,True
14,6,20,C,3558.34,232.57,True,,,True,-22368.49,284.04,True,33707.39,230.63,True,,,True,13575.96,231.21,True,2981.51,250.74,True,29555.65,573.75,True,44545.49,230.62,True,-3578.27,308.01,True,-1348.7,307.97,True,,,True
13,7,20,N,7489.31,81.05,True,44604.08,218.88,True,-17770.93,82.63,True,21783.96,78.89,True,-45292.72,531.25,True,10362.32,78.94,True,2161.1,80.58,True,17936.23,126.11,True,14915.89,78.9,True,7558.04,84.41,True,5598.65,80.78,True,-16303.42,218.82,True
12,8,20,O,11563.65,0.88,True,35701.03,30.01,True,-12322.88,3.69,True,10838.1,0.88,True,-35906.55,98.39,True,-2787.7,0.88,True,7608.0,2.78,True,19349.08,16.43,True,-13681.52,2.06,True,1393.81,18.59,True,790.15,15.03,True,-11589.32,17.39,True
11,9,20,F,17033.21,0.46,True,27708.57,18.57,True,-8126.29,2.3,True,-6868.07,1.11,True,-23162.72,16.4,True,-9840.83,0.16,True,6601.34,0.03,True,10639.29,2.64,True,,,True,11476.16,0.03,True,5655.36,0.03,True,-2241.14,15.0,True
10,10,20,Ne,28502.18,0.36,True,20837.06,0.0,True,-4729.84,0.0,True,-24519.62,1.86,True,-17663.76,2.64,True,-28042.64,10.54,True,16865.3,0.16,True,12843.46,0.0,True,,,True,2795.76,0.46,True,-4129.58,0.25,True,-586.77,0.0,True
9,11,20,Na,34330.02,93.89,True,8600.45,1.21,True,-6254.56,8.39,True,,,True,1049.08,1.11,True,-33049.1,50.01,True,14150.1,10.59,True,2190.42,1.13,True,,,True,12243.8,1.17,True,-4785.79,1.17,True,10545.3,1.14,True
8,12,20,Mg,,,True,2417.86,1.9,True,-8934.0,20.56,True,,,True,8436.67,1.87,True,,,True,22422.01,50.04,True,2740.67,10.7,True,,,True,3150.51,93.9,True,-12831.47,1001.36,True,6623.65,1.9,True
16,5,21,B,-1417.0,1042.0,False,,,True,,,True,52098.0,910.0,False,,,True,31755.0,929.0,False,-809.0,1204.0,False,,,True,77377.0,900.0,False,,,True,,,True,,,True
15,6,21,C,2913.0,604.0,False,,,True,,,True,37581.0,596.0,False,,,True,15805.0,601.0,False,-68.0,639.0,False,30096.0,998.0,False,51375.0,596.0,False,-3416.0,795.0,False,-1285.0,630.0,False,,,True
14,7,21,N,6767.0,135.05,True,49116.27,542.19,True,-20909.32,244.19,True,25279.52,134.06,True,-50507.0,811.0,False,13364.42,134.05,True,4605.9,155.54,True,19560.62,266.75,True,27416.54,134.05,True,3528.97,166.28,True,5176.7,137.36,True,-20914.32,244.24,True
13,8,21,O,11413.46,12.29,True,38929.66,99.12,True,-15394.78,21.11,True,13793.81,12.0,True,-36730.5,230.94,True,8.18,12.0,True,3805.45,12.03,True,20993.43,79.8,True,-2841.81,12.02,True,2916.56,20.32,True,-187.08,22.11,True,-11210.83,32.31,True
12,9,21,F,14702.79,1.8,True,30481.83,16.5,True,-10342.6,15.11,True,2137.03,1.8,True,-29103.07,78.91,True,-1076.99,1.8,True,8101.46,1.8,True,11132.75,2.01,True,-27038.0,596.0,False,7330.34,3.19,True,5599.27,1.8,True,-7514.37,18.66,True
11,10,21,Ne,23626.46,0.16,True,23642.57,2.64,True,-7347.93,0.04,True,-16635.63,0.76,True,-16816.92,0.89,True,-20653.7,1.11,True,6761.16,0.04,True,13003.28,0.05,True,,,True,6466.47,0.04,True,-1740.83,0.46,True,697.44,0.04,True
10,11,21,Na,31256.66,10.54,True,15275.13,0.1,True,-6561.25,0.27,True,-29175.0,596.0,False,-9456.14,0.1,True,-27733.64,1.87,True,17106.55,1.12,True,2431.67,0.1,True,,,True,6774.12,0.19,True,-2638.19,0.38,True,2588.66,0.47,True
